tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Tý chứng,Can Thận hư khuy,"Đau khớp âm ỉ kéo dài, Teo cơ, Lưng gối mỏi yếu, Đi lại khó khăn",Độc hoạt ký sinh thang,"Độc hoạt, Tang ký sinh, Tần giao, Phòng phong, Tế tân, Đương quy, Bạch thược, Xuyên khung, Thục địa, Nhân sâm, Phục linh, Nhục quế, Đỗ trọng, Ngưu tất, Cam thảo"
Uất chứng,Can khí uất kết,"Tinh thần uất ức, Hay thở dài, Ngực sườn đầy trướng, Kinh nguyệt không đều",Sài hồ sơ can tán,"Sài hồ, Trần bì, Chỉ xác, Bạch thược, Chích cam thảo, Hương phụ, Xuyên khung"
Uất chứng,Khí uất hóa hỏa,"Hay cáu gắt, Đau đầu, Mặt đỏ, Đắng miệng, Táo bón",Đan chi tiêu dao tán,"Sài hồ, Đương quy, Bạch thược, Bạch truật, Phục linh, Cam thảo, Đan bì, Chi tử"
Uất chứng,Đàm khí uất kết (Mai hạch khí),"Cảm giác vướng họng nuốt không trôi khạc không ra, Ngực tức",Bán hạ hậu phác thang,"Bán hạ, Hậu phác, Phục linh, Sinh khương, Tử tô diệp"
Uất chứng,Tâm thần thất dưỡng,"Tinh thần hoảng hốt, Hay khóc lóc, Tâm thần bất định, Khó ngủ",Cam thảo đại táo thang,"Cam thảo, Tiểu mạch, Đại táo"
Uất chứng,Tâm tỳ lưỡng hư,"U uất, Hay quên, Hồi hộp, Đói không muốn ăn, Sắc mặt nhợt",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Ách nghịch,Vị hàn,"Nấc cụt tiếng trầm mạnh, Gặp lạnh nấc tăng, Thích uống ấm",Đinh hương thị đế thang,"Đinh hương, Thị đế, Nhân sâm, Sinh khương"
Ách nghịch,Vị nhiệt,"Nấc tiếng vang cao, Hơi thở hôi, Khát nước, Táo bón, Rêu lưỡi vàng",Trúc diệp thạch cao thang,"Trúc diệp, Thạch cao, Bán hạ, Nhân sâm, Mạch môn, Cam thảo, Ngạnh mễ"
Ách nghịch,Can khí phạm vị,"Nấc cụt liên tục liên quan đến tình chí kích động, Ngực sườn đầy",Ngũ ma ẩm tử,"Trầm hương, Ô dược, Chỉ thực, Mộc hương, Đại hoàng"
Ách nghịch,Vị âm hư,"Nấc cụt đứt quãng, Miệng khô họng khát, Lưỡi đỏ ít rêu",Ích vị thang,"Sa sâm, Mạch môn, Sinh địa, Ngọc trúc, Đường phèn"
Nôn mửa,Ngoại tà phạm vị,"Nôn mửa đột ngột, Sốt, Sợ lạnh, Ngực đầy tức",Hoắc hương chính khí tán,"Hoắc hương, Đại phúc bì, Bạch chỉ, Tử tô, Phục linh, Bán hạ, Bạch truật, Trần bì, Hậu phác, Cát cánh, Cam thảo"
Nôn mửa,Thực trệ,"Nôn ra thức ăn chua nồng, Nôn xong dễ chịu, Bụng chướng đau",Bảo hòa hoàn,"Sơn tra, Thần khúc, La bạc tử, Bán hạ, Trần bì, Phục linh, Liên kiều"
Nôn mửa,Can khí phạm vị,"Nôn mửa ra nước chua, Ợ hơi nhiều, Đau tức sườn ngực",Bán hạ tả tâm thang,"Bán hạ, Hoàng cầm, Hoàng liên, Can khương, Nhân sâm, Cam thảo, Đại táo"
Nôn mửa,Tỳ vị hư hàn,"Nôn mửa kéo dài, Ăn vào là nôn, Sợ lạnh, Thích ấm, Mệt mỏi",Lý trung hoàn,"Nhân sâm, Can khương, Bạch truật, Cam thảo"
Cổ trướng,Khí trệ thấp trở,"Bụng to trướng đầy, Da bụng căng, Ngực sườn đầy tức, Ăn kém",Sài hồ sơ can tán hợp Vị linh thang,"Sài hồ, Trần bì, Chỉ xác, Bạch thược, Hương phụ, Thương truật, Hậu phác, Phục linh, Trạch tả"
Cổ trướng,Thủy thấp nội đình,"Bụng to trướng nước, Ấn lõm, Chân phù, Tiểu ít, Thích nằm",Ngũ linh tán hợp Ngũ bì ẩm,"Bạch truật, Phục linh, Trạch tả, Trư linh, Quế chi, Tang bạch bì, Trần bì, Sinh khương bì, Đại phúc bì"
Cổ trướng,Thấp nhiệt uẩn kết,"Bụng chướng to cứng, Da vàng, Mắt vàng, Phát sốt, Tiểu đỏ rát",Trung mãn phân tiêu hoàn,"Thương truật, Hậu phác, Trần bì, Bán hạ, Chỉ thực, Hoàng cầm, Hoàng liên, Phục linh, Trạch tả"
Cổ trướng,Tỳ thận dương hư,"Bụng to trướng như trống, Sợ lạnh, Sắc mặt ám tối, Chân tay lạnh",Phụ tử lý trung hoàn hợp Chân vũ thang,"Phụ tử, Can khương, Bạch truật, Cam thảo, Phục linh, Bạch thược, Sinh khương"
Lị chứng,Thấp nhiệt lị,"Đau bụng, Mót rặn, Đi ngoài phân lẫn máu mũi, Sốt, Tiểu rắt",Thược dược thang,"Bạch thược, Đương quy, Hoàng liên, Hoàng bá, Hoàng cầm, Đại hoàng, Mộc hương, Binh lang, Cam thảo"
Lị chứng,Hàn thấp lị,"Đau bụng thích ấm, Mót rặn, Phân lẫn nhầy trắng, Không khát, Sợ lạnh",Vị linh tán,"Thương truật, Hậu phác, Trần bì, Cam thảo, Phục linh, Trạch tả, Bạch truật, Trư linh, Quế chi"
Lị chứng,Dịch độc lị,"Khởi phát đột ngột, Sốt cao dữ dội, Co giật, Hôn mê, Đại tiện ra máu",Thanh ôn bại độc ẩm,"Thạch cao, Tri mẫu, Sinh địa, Sừng tê giác, Hoàng liên, Hoàng cầm, Chi tử, Huyền sâm, Liên kiều, Bản lam căn"
Lị chứng,Hư bổn lị,"Lị kéo dài không dứt, Mót rặn nhẹ, Phân có máu nhầy nhạt, Người gầy yếu",Chân nhân dưỡng tạng thang,"Nhân sâm, Đương quy, Bạch truật, Nhục quế, Nhục đậu khấu, Kha tử, Anh túc xác, Bạch thược, Mộc hương, Cam thảo"
Động kinh,Phong đàm bế khiếu,"Đột ngột ngã lăn, Sùi bọt mép, Co giật tay chân, Tỉnh dậy như thường",Định giản hoàn,"Trần bì, Bán hạ, Phục linh, Cam thảo, Đởm nam tinh, Toàn yết, Ngô công, Thạch xương bồ, Hổ phách, Trúc nhự"
Động kinh,Can hỏa cuồng động,"Co giật dữ dội, Hay cáu gắt, Mặt đỏ tai ù, Đại tiện táo",Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử, Trạch tả, Mộc thông, Xa tiền tử, Đương quy, Sinh địa, Sài hồ, Cam thảo"
Động kinh,Tâm thận khuy hư,"Động kinh lâu ngày, Trí tuệ giảm sút, Chóng mặt, Mất ngủ, Đau lưng",Lục vị địa hoàng hoàn gia giảm,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì, Viễn chí, Toan táo nhân"
Trường ung,Ứ trệ kỳ đầu,"Đau bụng quanh rốn sau khu trú bụng dưới bên phải, Sốt nhẹ, Cự án",Hồng đằng hồng hoa ẩm,"Hồng đằng, Hồng hoa, Đào nhân, Đương quy, Liên kiều, Đại hoàng, Cam thảo"
Trường ung,Thấp nhiệt bọc mủ,"Đau bụng dữ dội vùng hố chậu phải, Sốt cao, Co cơ bụng, Đại tiện táo",Đại hoàng mẫu đơn bì thang,"Đại hoàng, Mẫu đơn bì, Đào nhân, Đông qua tử, Mang tiêu"
Di tinh (Spermatorrhea),Tâm thận bất giao,"Di tinh, Mộng tinh, Hồi hộp, Khó ngủ, Hay quên, Lưng mỏi",Tam tài phong tủy đoan,"Nhân sâm, Thiên môn, Thục địa, Hoàng bá, Sa nhân, Chích cam thảo"
Di tinh,Thận hư bất cố,"Di tinh không mộng (hoạt tinh), Sợ lạnh, Tay chân lạnh, Nước tiểu trong",Kim tỏa cố tinh hoàn,"Sa uyển tử, Tật lê, Liên tu, Liên nhục, Khiếm thực, Long cốt, Mẫu lệ"
Di tinh,Thấp nhiệt hạ chú,"Di tinh kèm nước tiểu đỏ rát, Đùi bẹn ẩm ướt, Miệng đắng",Diệu hương tán hợp Đạo xích tán,"Nhân sâm, Hoàng kỳ, Phục linh, Viễn chí, Sa nhân, Sinh địa, Mộc thông, Trúc diệp, Cam thảo"
Dương nuy (ED),Mệnh môn hỏa suy,"Liệt dương, Giảm ham muốn, Tay chân lạnh, Lưng gối mỏi",Hữu quy hoàn,"Thục địa, Sơn dược, Sơn thù, Câu kỷ tử, Lộc giác giao, Thỏ ty tử, Đỗ trọng, Đương quy, Nhục quế, Phụ tử"
Dương nuy,Tâm tỳ khuy hư,"Liệt dương, Hồi hộp, Lo âu nhiều, Ăn kém, Mệt mỏi",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Dương nuy,Can khí uất kết,"Liệt dương xuất hiện sau căng thẳng tâm lý, Ngực sườn trướng đau",Tiêu dao tán,"Sài hồ, Đương quy, Bạch thược, Bạch truật, Phục linh, Cam thảo, Bạc hà, Sinh khương"
Kinh nguyệt sớm,Huyết nhiệt,"Kinh nguyệt đến sớm, Lượng nhiều, Màu đỏ thẫm, Bứt rứt",Thanh kinh tán,"Đan bì, Địa cốt bì, Bạch thược, Đại thục địa, Thanh hao, Hoàng bá, Phục linh"
Kinh nguyệt sớm,Khí hư,"Kinh nguyệt sớm, Lượng nhiều, Màu nhạt, Sắc mặt nhợt nhạt, Mệt mỏi",Cử nguyên tiễn,"Nhân sâm, Hoàng kỳ, Bạch truật, Thăng ma, Chích cam thảo"
Kinh nguyệt muộn,Huyết hàn,"Kinh nguyệt đến muộn, Lượng ít, Màu đen có cục, Đau bụng thích ấm",Ôn kinh thang,"Ngô thù du, Đương quy, Bạch thược, Xuyên khung, Nhân sâm, A giao, Đan bì, Sinh khương, Cam thảo, Mạch môn, Bán hạ"
Kinh nguyệt muộn,Huyết hư,"Kinh nguyệt muộn, Lượng ít, Màu nhạt không cục, Chóng mặt, Da khô",Đại bổ nguyên tiễn,"Nhân sâm, Sơn dược, Thục địa, Đỗ trọng, Đương quy, Sơn thù, Câu kỷ tử, Chích cam thảo"
Rong kinh,Huyết nhiệt,"Kinh nguyệt kéo dài không dứt, Màu đỏ tươi, Khát nước, Tâm phiền",Cố kinh hoàn,"Hoàng bá, Hoàng cầm, Bạch thược, Quy bản, Thung căn bì, Hương phụ"
Rong kinh,Khí hư,"Kinh nguyệt kéo dài, Màu nhạt loãng, Mệt mỏi, Hụt hơi, Thích nằm",Cử nguyên tiễn hợp Độc sâm thang,"Nhân sâm, Hoàng kỳ, Bạch truật, Thăng ma, Cam thảo"
Rong kinh,Huyết ứ,"Kinh kéo dài, Màu tím đen có cục lớn, Đau bụng dưới dữ dội",Thất tiếu tán,"Ngũ linh chi, Bồ hoàng"
Bách nhật khái (Ho gà),Khởi phát,"Ho liên tục, Ho tăng về đêm, Sốt nhẹ, Chảy nước mũi",Sâm tô ẩm gia giảm,"Đảng sâm, Tô diệp, Cát căn, Tiền hồ, Bán hạ, Phục linh, Trần bì"
Bách nhật khái,Cơ ho dữ dội,"Ho rũ rượi, Ho đỏ mặt, Tiếng ho như gà gáy, Nôn ra thức ăn/đờm",Tả bạch tán hợp Đình lịch đại hoàng tả phế thang,"Tang bạch bì, Địa cốt bì, Đình lịch tử, Đại hoàng, Cam thảo"
Ma chẩn (Sởi),Thời kỳ sởi mọc,"Sốt cao, Ho nhiều, Chảy nước mắt mũi, Ban sởi mọc từ tai lan ra thân",Tuyên độc thấu chẩn thang,"Thăng ma, Cát căn, Tiền hồ, Cát cánh, Kinh giới, Phòng phong, Bạc hà, Ngưu bàng tử, Liên kiều, Mộc thông, Cam thảo"
Ma chẩn,Thời kỳ sởi bay,"Sốt lui, Sởi bay để lại vết thâm, Ho khan ít đờm, Miệng khô",Sa sâm mạch môn đông thang,"Sa sâm, Mạch môn, Sinh địa, Ngọc trúc, Đông qua nhân,扁 đậu, Cam thảo"
Ma mộc,Khí huyết câu hư,"Tê bì tay chân, Sắc mặt nhợt nhạt, Chóng mặt, Móng tay khô nhợt",Hoàng kỳ quế chi ngũ vật thang,"Hoàng kỳ, Bạch thược, Quế chi, Sinh khương, Đại táo"
Ma mộc,Phong đàm trở lạc,"Tê bì tay chân kèm theo cảm giác nặng nề, Lợm giọng, Đầu nặng",Đạo đàm thang,"Bán hạ, Trần bì, Phục linh, Cam thảo, Đởm nam tinh, Chỉ thực, Sinh khương"
Ma mộc,Huyết ứ,"Tê bì châm chích như kim đâm cố định, Da dẻ khô ráp, Môi thâm",Đào hồng tứ vật thang,"Đào nhân, Hồng hoa, Đương quy, Thục địa, Bạch thược, Xuyên khung"
Ích cách (Dysphagia/Nuốt nghẹn),Đàm khí giao trở,"Nuốt nghẹn thức ăn đặc, Ngực sườn đau trướng, Thở dài",Khải cách tán,"Sa sâm, Đan sâm, Phục linh, Uất kim, Sa nhân, Hà diệp, Xuyên bối mẫu"
Ế cách,Ứ huyết nội kết,"Nuốt nghẹn nặng, Ăn vào nôn ra ngay, Người gầy còm khô héo",Thông u thang,"Đương quy, Sinh địa, Thục địa, Đào nhân, Hồng hoa, Ô dược, Thăng ma"
Ủy chứng (Teo cơ/Liệt chi),Phế nhiệt di tân,"Hai chân yếu mềm không lực, Teo cơ nhanh, Phát sốt, Khô họng",Thanh táo cứu phế thang,"Thạch cao, Tang diệp, Hạnh nhân, Tỳ bà diệp, Nhân sâm, A giao, Mạch môn, Hồ ma nhân, Cam thảo"
Ủy chứng,Thấp nhiệt tẩm dâm,"Chi dưới tê yếu, Nặng nề, Cảm giác nóng rát, Tiểu ngắn đỏ",Nhị diệu hoàn,"Hoàng bá, Thương truật"
Ủy chứng,Tỳ vị hư nhược,"Tứ chi nhẽo cơ, Yếu liệt dần, Ăn kém, Phân nát, Sắc mặt nhợt",Sâm linh bạch truật tán,"Nhân sâm, Bạch truật, Phục linh, Sơn dược, Cam thảo, Biển đậu, Liên nhục, Cát cánh, Ý dĩ, Sa nhân"
Ủy chứng,Can thận khuy hư,"Yêu mềm teo cơ kéo dài, Lưng mỏi gối yếu, Ù tai, Di tinh",Hổ tiềm hoàn,"Thục địa, Quy bản, Hoàng bá, Tri mẫu, Thược dược, Hổ cốt, Tỏa dương, Đương quy, Trần bì, Can khương"
Tọa cốt phong,Phong hàn thấp,"Đau từ thắt lưng lan xuống mông chân, Đau tăng khi lạnh ẩm",Độc hoạt ký sinh thang,"Độc hoạt, Tang ký sinh, Tần giao, Phòng phong, Tế tân, Đương quy, Bạch thược, Xuyên khung, Thục địa, Nhân sâm, Phục linh, Nhục quế, Đỗ trọng, Ngưu tất, Cam thảo"
Tọa cốt phong,Huyết ứ,"Đau dữ dội như dao đâm dọc đường kinh, Đau tăng về đêm",Thân thống trục ứ thang,"Tần giao, Xuyên khung, Đào nhân, Hồng hoa, Cam thảo, Khương hoạt, Một dược, Đương quy, Linh chi, Hương phụ, Ngưu tất, Địa long"
Phế ung,Khởi phát,"Sốt, Sợ lạnh, Ho tức ngực, Đờm trắng dính hoặc vàng",Ngân kiều tán gia giảm,"Kim ngân hoa, Liên kiều, Bạc hà, Cát cánh, Ngưu bàng tử, Kinh giới"
Phế ung,Thành mủ,"Sốt cao không lui, Đau ngực dữ dội, Ho ra đờm mủ thối hôi tanh",Như kim giải độc tán,"Hoàng liên, Hoàng cầm, Hoàng bá, Chi tử, Cát cánh, Cam thảo"
Phế ung,Loét mủ,"Ho khạc ra rất nhiều đờm mủ thối hôi, Có thể lẫn máu tươi",Vi葦茎 thang,"Vi căn, Ý dĩ nhân, Đông qua tử, Đào nhân"
Chán ăn (Trẻ em),Tỳ vị khí hư,"Ăn ít, Thích ăn đồ ấm, Ăn xong bụng chướng, Đại tiện phân nát",Dị công tán,"Nhân sâm, Bạch truật, Phục linh, Cam thảo, Trần bì"
Chán ăn,Vị âm bất túc,"Chán ăn, Miệng khô thích uống nước mát, Da dẻ khô ráp, Táo bón",Dưỡng vị tăng,"Sa sâm, Mạch môn, Thạch hộc, Ngọc trúc, Ô mai, Cam thảo"
Điên chứng (Thể trầm cảm/Ảo giác),Đàm khí uất kết,"Trầm mặc, Đờ đẫn, Nói lẩm bẩm một mình, Chán ăn",Thuận khí đạo đàm thang,"Bán hạ, Trần bì, Phục linh, Cam thảo, Đởm nam tinh, Chỉ thực, Mộc hương, Hương phụ"
Cuồng chứng (Thể kích động),Đàm hỏa thượng nhiễu,"Hét hò, Chửi bới, Chạy rông, Sức lực tăng mạnh, Mất ngủ",Sinh thiết lạc ẩm,"Sinh thiết lạc, Huyền sâm, Mạch môn, Sinh địa, Đan sâm, Liên kiều, Phục thần, Viễn chí, Thạch xương bồ"
Nhĩ minh (Ù tai),Can đảm hỏa thịnh,"Ù tai tiếng như sóng gầm, Liên quan đến tức giận, Mặt đỏ đắng miệng",Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử, Trạch tả, Mộc thông, Xa tiền tử, Đương quy, Sinh địa, Sài hồ, Cam thảo"
Nhĩ minh,Thận tinh bất túc,"Ù tai tiếng nhỏ như ve kêu, Đau lưng mỏi gối, Ù tai tăng khi mệt mỏi",Nhĩ lung tả từ hoàn,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì, Từ thạch, Sài hồ"
Ngai chướng,Gan thận âm hư,"Mắt mờ dần, Khô mắt, Hoa mắt chóng mặt, Lưng gối mỏi",Kỷ cúc địa hoàng hoàn,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì, Câu kỷ tử, Cúc hoa"
Suyễn chứng,Phế phế khí hư,"Thở gấp hụt hơi, Sợ gió, Tự ra mồ hôi, Dễ cảm mạo",Sinh mạch tán,"Nhân sâm, Mạch môn, Ngũ vị tử"
Suyễn chứng,Thận bất nạp khí,"Thở khò khè kéo dài, Hít vào khó, Đoản hơi nặng, Tay chân lạnh",Tham phụ thang,"Nhân sâm, Phụ tử"
Hầu tý,Phế vị nhiệt thịnh,"Họng sưng đỏ, Đau rát dữ dội, Nuốt khó, Sốt cao, Táo bón",Thanh yết lợi cách thang,"Liên kiều, Kim ngân hoa, Hoàng cầm, Chi tử, Cát cánh, Bạc hà, Ngưu bàng tử, Huyền sâm, Đại hoàng, Cam thảo"
Hầu tý,Thận âm hư hoả vượng,"Họng khô đau âm ỉ, Cảm giác vướng víu, Đau tăng về đêm, Má đỏ",Tri bá địa hoàng hoàn,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì, Tri mẫu, Hoàng bá"
Khẩu sang,Tâm hỏa thượng viêm,"Loét miệng lưỡi sưng đau, Đầu lưỡi đỏ, Tâm phiền, Tiểu đỏ rát",Đạo xích tán,"Sinh địa, Mộc thông, Trúc diệp, Cam thảo"
Khẩu sang,Tỳ vị thấp nhiệt,"Vết loét vàng quanh miệng, Sưng đau nhiều, Hơi thở hôi, Táo bón",Lương cách tán,"Liên kiều, Đại hoàng, Mang tiêu, Hoàng cầm, Chi tử, Bạc hà, Cam thảo, Trúc diệp"
Nha thống,Vị hỏa thượng viêm,"Đau răng dữ dội, Sưng lợi, Hôi miệng, Thích uống nước lạnh",Thanh vị tán,"Sinh địa, Đương quy, Mẫu đơn bì, Hoàng liên, Thăng ma"
Nha thống,Hư hỏa,"Đau răng âm ỉ, Răng lung lay nhẹ, Đau tăng về đêm, Không sưng lợi nhiều",Tri bá địa hoàng hoàn,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì, Tri mẫu, Hoàng bá"
Sán khí,Hàn sán,"Đau quặn tinh hoàn bụng dưới, Co rút lên trên, Gặp lạnh đau tăng",Đạo khí thang,"Xuyên luyện tử, Tiểu hồi hương, Mộc hương, Ngô thù du"
Sán khí,Thấp nhiệt sán,"Tinh hoàn sưng to nóng đỏ đau rát, Sốt, Tiểu ngắn đỏ",Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử, Trạch tả, Mộc thông, Xa tiền tử, Đương quy, Sinh địa, Sài hồ, Cam thảo"
Huyết ban,Huyết nhiệt vọng hành,"Dưới da xuất hiện ban tím đỏ đột ngột, Sốt, Chảy máu cam",Tê giác địa hoàng thang,"Sừng tê giác, Sinh địa, Mẫu đơn bì, Bạch thược"
Huyết ban,Khí bất nhiếp huyết,"Ban tím mờ nhạt xuất hiện rải rác kéo dài, Mệt mỏi, Thần sắc kém",Quy tỳ thang,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Long nhãn, Toan táo nhân, Mộc hương, Chích cam thảo, Đương quy, Viễn chí"
Bạch trọc,Thấp nhiệt hạ chú,"Nước tiểu đục như váng sữa, Tiểu rắt buốt, Miệng đắng",Tỳ giải phân thanh ẩm,"Tỳ giải, Ô dược, Ích trí nhân, Thạch xương bồ, Phục linh, Cam thảo"
Bạch trọc,Tỳ thận khí hư,"Nước tiểu đục kéo dài, Không đau buốt, Người mệt mỏi, Lưng mỏi",Bổ trung ích khí thang,"Hoàng kỳ, Đảng sâm, Bạch truật, Đương quy, Trần bì, Thăng ma, Sài hồ, Cam thảo"
Tâm thống,Tâm dương bạo thoát,"Đau thắt ngực dữ dội đột ngột, Mặt xám ngoét, Tay chân lạnh toát, Mạch vi muốn tuyệt",Sâm phụ long cốt mẫu lệ thang,"Nhân sâm, Phụ tử, Long cốt, Mẫu lệ"
Hãn chứng,Tâm huyết bất túc,"Mồ hôi ra nhiều kèm hồi hộp, Mất ngủ, Sắc mặt nhợt nhạt",Dưỡng tâm thang,"Hoàng kỳ, Phục linh, Phục thần, Đương quy, Xuyên khung, Bán hạ, Bá tử nhân, Toan táo nhân, Viễn chí, Nhục quế, Ngũ vị tử, Nhân sâm, Cam thảo"
Ôn bệnh,Vệ phận chứng,"Phát sốt, Sợ gió lạnh, Đau đầu, Ngứa họng, Ho khan, Mạch Phù sác",Ngân kiều tán,"Kim ngân hoa, Liên kiều, Bạc hà, Cát cánh, Ngưu bàng tử, Trúc diệp, Kinh giới, Đạm đậu xị, Cam thảo"
Ôn bệnh,Khí phận chứng,"Sốt cao không sợ lạnh, Ra mồ hôi nhiều, Khát dữ dội, Mạch Hồng đại",Bạch hổ thang,"Thạch cao, Tri mẫu, Cam thảo, Ngạnh mễ"
Ôn bệnh,Dinh phận chứng,"Sốt cao về đêm, Phiền táo mất ngủ, Nói nhảm, Ban chẩn lờ mờ",Thanh dinh thang,"Sừng tê giác, Huyền sâm, Sinh địa, Trúc diệp, Mạch môn, Đan sâm, Hoàng liên, Kim ngân hoa, Liên kiều"
Ôn bệnh,Huyết phận chứng,"Sốt cao, Thần chí hôn mê, Ban chẩn dày đặc, Ho ra máu, Chảy máu cam",Tê giác địa hoàng thang,"Sừng tê giác, Sinh địa, Mẫu đơn bì, Bạch thược"
Chấn t颤,Can huyết bất túc,"Chân tay run rẩy nhẹ, Hoa mắt chóng mặt, Tê bì chân tay",Tứ vật thang gia giảm,"Đương quy, Thục địa, Bạch thược, Xuyên khung, Đan sâm, Câu đằng"
Chấn t颤,Phong dương nội động,"Đầu và chân tay run rẩy mạnh không tự chủ, Đau đầu chóng mặt, Cáu gắt",Trấn can tức phong thang,"Ngưu tất, Đại giả thạch, Long cốt, Mẫu lệ, Quy bản, Bạch thược, Huyền sâm, Thiên môn, Xuyên luyện tử, Nhân trần, Cam thảo, Mạch nha"
Đảm nang kết thạch,Can đảm thấp nhiệt,"Đau quặn hạ sườn phải lan ra vai lưng, Sốt, Vàng da, Buồn nôn",Đại sài hồ thang,"Sài hồ, Hoàng cầm, Thược dược, Bán hạ, Chỉ thực, Đại hoàng, Sinh khương, Đại táo"
Phong thấp,Phong hàn thấp,"Đau nhức xương khớp, Sợ lạnh, Nặng nề, Đau tăng khi trời ẩm",Quế chi thược dược tri mẫu thang,"Quế chi, Thược dược, Tri mẫu, Ma hoàng, Phụ tử, Cam thảo, Sinh khương"
Phong thấp,Phong nhiệt thấp,"Khớp sưng nóng đau, Sốt, Khát nước, Nặng đầu",Quế chi thang gia thạch cao,"Quế chi, Thược dược, Tri mẫu, Thạch cao, Phòng phong, Cam thảo"
Phong thấp,Thấp trọng,"Khớp nề nặng, Tê bì, Khó cử động, Tiểu ít",Ý dĩ nhân thang gia vị,"Ý dĩ nhân, Thương truật, Phục linh, Trư linh, Trạch tả, Quế chi"
Phong thấp,Hàn thấp,"Đau khớp dữ dội, Cố định, Sợ lạnh, Chườm ấm giảm",Ô đầu thang,"Chế ô đầu, Ma hoàng, Bạch thược, Hoàng kỳ, Cam thảo"
Phong thấp,Nhiệt thấp,"Khớp sưng đỏ nóng, Đau nhức, Sốt, Miệng khát",Bạch hổ gia truật thang,"Thạch cao, Tri mẫu, Thương truật, Quế chi, Cam thảo, Ngạnh mễ"
Bạch đới (Huyết trắng),Thấp nhiệt hạ chú,"Huyết trắng vàng đục, Mùi hôi, Ngứa rát, Bụng dưới trướng",Hoàng bá thang,"Hoàng bá, Xa tiền tử, Phục linh, Trạch tả, Ý dĩ nhân"
Bạch đới,Tỳ hư thấp trọng,"Huyết trắng trắng trong, Nhiều, Mệt mỏi, Ăn kém",Hoàn đái thang,"Bạch truật, Hoài sơn, Sơn dược, Khiếm thực, Bạch quả, Sa nhân"
Bạch đới,Thận hư bất cố,"Huyết trắng trong suốt, Kéo dài, Lưng mỏi, Gối yếu",Tả quy hoàn gia giảm,"Thục địa, Hoài sơn, Sơn thù, Câu kỷ tử, Khiếm thực, Liên nhục"
Mộng tinh,Can hỏa nhiễu tâm,"Mộng tinh nhiều, Hồi hộp, Cáu gắt, Mất ngủ",Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử, Trạch tả, Mộc thông, Xa tiền tử"
Mộng tinh,Tâm tỳ lưỡng hư,"Mộng tinh ít, Mệt mỏi, Mất ngủ, Hay quên",Quy tỳ thang gia vị,"Nhân sâm, Bạch truật, Phục thần, Hoàng kỳ, Toan táo nhân, Long nhãn"
Mộng tinh,Thận âm bất túc,"Mộng tinh, Lưng mỏi, Ù tai, Chóng mặt",Lục vị địa hoàng hoàn,"Thục địa, Hoài sơn, Sơn thù, Phục linh, Trạch tả, Đan bì"
Hoắc loạn (Nôn mửa tiêu chảy),Hàn hoắc loạn,"Nôn mửa, Tiêu chảy phân lỏng, Sợ lạnh, Tay chân lạnh",Lý trung hoàn hợp Ngũ linh tán,"Nhân sâm, Can khương, Bạch truật, Cam thảo, Phục linh, Trư linh, Trạch tả, Quế chi"
Hoắc loạn,Nhiệt hoắc loạn,"Nôn mửa, Tiêu chảy phân vàng sốt, Khát nước, Bứt rứt",Cát căn cầm liên thang hợp Bảo hòa hoàn,"Cát căn, Hoàng cầm, Hoàng liên, Sơn tra, Thần khúc, La bạc tử"
Thương thực (Trúng độc thức ăn),Thực độc trúng,"Buồn nôn, Nôn ra thức ăn, Đau bụng dữ dội, Tiêu chảy",Bảo hòa hoàn gia vị,"Sơn tra, Thần khúc, La bạc tử, Bán hạ, Trần bì, Phục linh, Liên kiều, Hoàng liên"
Thương thực,Thấp trệ,"Bụng đầy chướng, Ăn không tiêu, Mệt mỏi, Đại tiện phân nát",Bình vị tán,"Thương truật, Hậu phác, Trần bì, Cam thảo, Sinh khương, Đại táo"
Dạ ngủ (Ngủ ngày),Khí hư,"Ban ngày buồn ngủ nhiều, Mệt mỏi, Ăn kém",Bổ trung ích khí thang,"Hoàng kỳ, Đảng sâm, Bạch truật, Đương quy, Trần bì, Thăng ma, Sài hồ, Cam thảo"
Dạ ngủ,Đàm thấp,"Ngủ ngày, Nặng đầu, Ngực tức, Đàm nhiều",Nhị trần thang,"Bán hạ, Trần bì, Phục linh, Cam thảo, Sinh khương"
