tên_bệnh,hội_chứng,triệu_chứng,bài_thuốc,vị_thuốc
Đau bụng,Can hàn,"Bụng dưới đau nhói hoặc hướng đau lan toả tới cao hoàn, thậm chí đau thúc tới liên sườn; đồng thời tay chân lạnh, sợ lạnh; rêu lưỡi trắng trơn; mạch trầm huyền hoặc trì",Ôn can tán hàn phương,"Ngô thù, Qui đầu, Xuyên khung, A giao, Bạch thược, Sinh khương, Nhân sâm, Quế chi, Đan bì, Bán hạ"
Đau bụng,Thực tích,"Bụng trướng đầy; ợ hơi; sôi bụng; đại tiện lỏng, uế trọc, mùi hôi; không thiết ăn uống; rêu dày nhớt; mạch hoạt sác",Chỉ thực đạo trệ hoàn gia giảm,"Đại hoàng, Binh lang, Chỉ thực, Sơn tra, Cam thảo, Hoàng liên, Liên kiều, Mộc thông, Thần khúc, Tử thảo, Hậu phác"
Đau bụng,Huyết ứ,"Vùng bụng đau nhói, ấn vào đau tăng; nơi đau cố định hoặc có hòn khối cự án; lưỡi tím có vết bầm",Thiếu phúc trục ứ thang gia giảm,"Tiểu hồi, Can khương, Quế chi, Bồ hoàng, Huyền hồ, Một dược, Qui đầu, Xích thược, Linh chi, Xuyên khung"
Đau dạ dày,Khí trệ,"Đau vùng thượng vị lan ra sườn, xuyên ra sau lưng; bụng đầy trướng, cự án; ợ hơi, ợ chua; lưỡi đỏ, rêu trắng hoặc vàng mỏng; mạch huyền",Sơ can hoà vị phương,"Sài hồ, Bạch thược, Chỉ thực, Thanh bì, Mai mực, Huyền hồ, Hương phụ, Trích thảo, Xuyên khung"
Đau dạ dày,Hoả uất,"Vùng thượng vị đau nhiều, đau nóng rát, cự án; miệng khô, ợ chua, đắng miệng; chất lưỡi đỏ, rêu lưỡi vàng; mạch huyền sác",Sơ can tiết nhiệt phương,"Sài hồ, Bạch thược, Chỉ thực, Thanh bì, Trích thảo, Xuyên khung, Hương phụ, Mai mực, Huyền hồ"
Đau dạ dày,Ứ huyết (Thực chứng),"Đau dữ dội ở vị trí nhất định, cự án, ấn vào đau tăng; nôn ra máu, ỉa phân đen; môi đỏ, lưỡi đỏ; rêu lưỡi đỏ; mạch huyền sác hữu lực",Lương huyết chỉ huyết phương (thực chứng),"Sinh địa, Trắc bách diệp, A giao, Cam thảo, Bồ hoàng, Chi tử"
Đau dạ dày,Ứ huyết (Hư chứng),"Đau dữ dội ở vị trí nhất định, cự án, ấn vào đau tăng; sắc mặt xanh nhợt, người mệt, chân tay lạnh; môi nhạt, chất lưỡi bệu có điểm ứ huyết, rêu lưỡi nhuận; mạch hư đại hoặc tế sác",Bổ huyết chỉ huyết phương (hư chứng),"Đẳng sâm, Bạch truật, Bạch linh, Cam thảo, Hoàng kỳ, A giao, Qui đầu, Xuyên khung, Ngũ vị, Táo nhân, Bạch thược, Đại táo, Trần bì, Kỉ tử, Sinh khương"
Đau dạ dày,Hư hàn,"Đau vùng thượng vị liên miên; nôn nhiều, mệt mỏi; thích xoa bóp, chườm nóng; đầy bụng, nôn ra nước trong; sợ lạnh, chân tay lạnh; phân nát có lúc táo; rêu lưỡi trắng, chất lưỡi nhạt; mạch hư tế",Ôn trung kiện vị phương,"Hoàng kỳ, Quế chi, Táo, Bạch thược, Cam thảo, Sinh khương, Di đường, Lá khôi"
Đau dạ dày,Hàn thấp,"Vị quản đầy đau khó chịu, ăn không thấy ngon; miệng dính nhớt; đầu mình nặng nề; đại tiện lỏng nhão hoặc tiết tả; rêu lưỡi trắng nhớt; mạch nhu",Vị linh thang,"Xương truật, Hậu phác, Tang bì, Trạch tả, Trư linh, Cam thảo, Nhục quế, Bạch truật, Phục linh, Sinh khương"
Đau đầu (Bệnh đau đầu),Phong hàn,"Đau đầu đau xuống gáy cổ, hay lấy khăn bịt đầu, sợ lạnh ngạt mũi, chảy nước mũi, rêu lưỡi trắng mỏng, mạch phù khẩn",Phương bổ khí tán hàn,"Đẳng sâm, Bạch truật, Hoàng kỳ, Sài hồ, Thăng ma, Trần bì, Qui xuyên, Trích thảo, Sinh khương, Phụ tử, Tang diệp, Xuyên khung, Bạch chỉ, Khương hoạt, Tế tân, Phòng phong, Kinh giới"
Đau đầu (Bệnh đau đầu),Phong nhiệt,"Đầu đau căng, nặng thì đau như búa bổ, sốt sợ gió, mặt và mắt đỏ, khát nước, tiểu tiện vàng, đại tiện bí, rêu vàng mỏng, mạch phù sác",Phương sơ phong thanh nhiệt,"Bạch linh, Hoàng cầm, Đương qui, Thạch cao, Sài hồ, Trần bì, Trích thảo, Đan bì, Chi tử, Bạc hà, Màn kinh, Cúc hoa, Bạch chỉ, Xuyên khung, Đại hoàng"
Đau đầu (Bệnh đau đầu),Phong thấp,"Đầu đau như bị bó lại, đau như dùi, người nặng, hông bụng đầy, chán ăn, lưỡi nhạt, rêu trắng cáu, mạch nhu",Phương trừ phong thấp,"Kinh giới, Phòng phong, Khương hoạt, Độc hoạt, Xuyên khung, Sài hồ, Trần bì, Chỉ sác, Cát cánh, Bạch linh, Cam thảo, Mộc hương, Xương truật, Màn kinh"
Đau đầu (Bệnh đau đầu),Huyết hư,"Đau đầu, chóng mặt, đau ê ẩm, mệt đau tăng, hồi hộp mất ngủ, tinh thần mệt mỏi, yếu sức, ăn uống kém",Bát trân thang gia giảm,"Ngũ vị, Bạch linh, Bạch truật, Mẫu lệ, Cam thảo, Đẳng sâm, Long nhãn, Xuyên khung, Tang kí sinh, Hà thủ ô, Bạch thược, Địa long, Màn kinh, Ngưu tất, Đương qui, Cúc hoa, Thục địa, Kỉ tử"
Đau đầu (Bệnh đau đầu),Can dương thượng cang / Can hỏa vượng,"Đau từng cơn nhấm nhói, đau căng đầu (sáng sớm hoặc suốt buổi sáng), đầu nặng chân nhẹ, hoa mắt sợ sáng, chóng mặt, đau nhiều vùng thái dương (cáu giận bệnh tăng), ngủ không yên, phiền táo, dễ cáu giận, sườn trướng đau, ù tai, mắt đỏ miệng khô, mạch huyền/huyền tế sác, lưỡi đỏ rêu vàng mỏng, có chiều hướng bị cao huyết áp",Phương bình can tiềm dương (hoặc Long đởm tả can thang nếu can hỏa vượng mạnh),"Chi tử, Hoàng cầm, Ngưu tất, Ích mẫu, Tang kí sinh, Dạ giao đằng, Bạch linh, Cúc hoa, Kỉ tử, Hạ khô thảo. (Âm hư gia: Sinh địa, Kỉ tử; Can hỏa vượng mạnh dùng thêm: Long đởm thảo, Trạch tả, Mộc thông, Sài hồ, Sinh địa, Đương quy, Cam thảo...)"
Đau đầu (Bệnh đau đầu),Uất đờm,"Đầu luôn căng, Mặt mày sây sẩy, ngực tức bụng đầy, nôn mửa ra đờm dãi, rêu lưỡi trắng nhờn (nếu vàng là thấp đờm hoá nhiệt), mạch huyền hoạt",Phương kiện tỳ tiêu đờm (Bán hạ bạch truật thiên ma thang gia giảm),"Bán hạ, Bạch truật, Trần bì, Hậu phác, Thiên ma, Sinh khương, Màn kinh, Cam thảo, Táo, Bạch linh, Tật lê, Bạch chỉ, Mộc hương, Xuyên khung"
Đau đầu (Bệnh đau đầu),Huyết ứ,"Đau liên miên không khỏi, điểm đau cố định, có lúc đau như dùi đâm, Lưỡi có đám ứ đỏ, mạch sác",Huyết phủ trục ứ thang gia giảm,"Sinh địa, Sài hồ, Qui đầu, Xuyên khung, Đào nhân, Chỉ sác, Cát cánh, Hồng hoa, Xích thược, Cam thảo, Ngưu tất, Hành, Hương phụ, Màn kinh, Bạch chỉ"
Đau đầu (Bệnh đau đầu),Khí hư,"Đau đầu âm ỉ, liên miên, làm việc quá sức thì đau tăng, người mệt, ăn kém, thiểu khí, mạch tế vô lực. (Đau nhiều về buổi sáng hoặc khi mới ngủ dậy, buổi chiều nhẹ dần, cảm giác long óc, tinh thần mỏi mệt)",Bổ trung ích khí thang gia giảm,"Hoàng kỳ, Nhân sâm, Bạch truật, Trần bì, Qui đầu, Bạch thược, Trích thảo, Thăng ma, Sài hồ, Màn kinh, Xuyên khung, Tế tân, Bạch chỉ"
Đau gót chân,Can thận hư,"Gót chân đau, không sưng không đỏ, hoặc hơi sưng nhẹ, không thể đi đứng nhiều, có thể kèm mỏi lưng, ù tai, chất lưỡi tối xạm",Lộc giác giao hoàn,"Lộc giác, Lộc giác xương, Thục địa, Nhân sâm, Hổ cốt, Ngưu tất, Phục linh, Thỏ ti tử, Bạch truật, Đỗ trọng, Qui bản, Đương qui"
Đau gót chân,Huyết ứ,"Đau gót chân kéo dài, mó vào càng đau tăng, nhưng sau khi đi lại chốc lát lại cảm thấy đỡ đau, mạch huyền sắc, lưỡi đỏ tối",Đan sâm ngưu tất thang,"Đan sâm, Ngưu tất"
Đau gót chân,Hàn ngưng huyết ứ,"Gót chân đau dữ dội hoặc sưng to ảnh hưởng đến đi lại, vì lạnh hoặc thời tiết thay đổi đau tăng, mạch trở sắc, lưỡi tía tối, bệnh trở ngại khỏi dài",Tam giáp tán kiên hoàn,"Miết giáp, Xuyên sơn giáp, Xích thược, Chế Qui bản, Qui đầu, Tô mộc, Sao Đào nhân, Huyết kiệt, Một dược chế, Uất kim, Giá trùng, Hồng hoa, Nhẫn đông đằng, Ngưu tất, Mộc qua, Cam thảo"
Đau khớp vai,Phong hàn thấp (nghiêng về phong),"Vai và cánh tay đau tập trung, vận động hạn chế, đau rát cứng đơ lên lưng gáy, cổ xoay chuyển khó khăn, rêu trắng, mạch khẩn",Phương khu phong chỉ thống,"Tang kí sinh, Ngân hoa, Ngưu tất, Phòng kỉ, Tần giao, Tiểu tang chi, Quế chi, Cam thảo"
Đau khớp vai,Phong hàn thấp (nghiêng về hàn thấp kiêm ứ),"Vai và cánh tay đau tập trung, vận động hạn chế, cứng đơ, cổ xoay chuyển khó, rêu trắng, mạch khẩn. (Gân cổ đau cứng; hàn thấp thiên thịnh: tay và ngón tay giá lạnh, sưng đau)",Phương trừ hàn thấp hoạt huyết,"Hoàng kỳ, Qui đầu, Hải đồng bì, Phòng phong, Cam thảo, Sinh khương, Uy linh tiên, Khương hoạt, Xích thược, Uất kim, Hi thiêm, Táo. (Gân cổ đau cứng gia Tần giao, Cát căn; hàn thấp thiên thịnh gia Phụ phiến, Quế chi, Ý dĩ, Phòng kỷ)"
Đau khớp vai,Kinh nghiệm (mới hoặc lâu khó cử động),"Một bên hoặc cả hai cánh tay tê đau đến nỗi không giơ cao, xoay chuyển hạn chế",Phương kinh nghiệm dưỡng huyết thư cân,"Ngọc trúc, Lộc hàm thảo (Lộ chàm thảo), Phục linh, Bạch thược, Tang kí sinh, Bạch truật, Ngưu tất, Trích thảo"
Đau khớp vai,Huyết ứ hàn đàm,"Vai đau lâu, liên tục tái phát, co duỗi khó, mình mẩy chân tay tê dại, lưng đùi và toàn thân đau nhức",Phương hoạt huyết hóa ứ ôn kinh,"Đan sâm, Nhũ hương, Khương hoàng, Uy linh tiên, Xuyên ô, Liên kiều, Đương qui, Một dược, Kê huyết đằng, Địa long, Nam tinh. (Bệnh ở vai gáy gia: Cát căn, Khương hoạt, Quế chi, Tang chi; ở vai lưng gia: Đỗ Trọng, Tục đoạn, Cẩu tích)"
Đau khớp vai,Ngoại thương huyết ứ,"Vai đau do vấp ngã, hay tái phát lâu ngày, khó cử động do ứ huyết trì trệ",Phương hoạt huyết hóa ứ chỉ thống,"Qui đầu, Kê huyết đằng, Chế Một dược, Huyền hồ, Đan sâm, Nhũ hương, Hương phụ, Thấu cốt thảo. (Thiên hàn gia: Quế chi, Tế tân, Chế Xuyên ô, Chế Thảo ô; thiên nhiệt gia: Bại tương thảo, Mẫu Đan bì; khí hư gia: Hoàng kỳ; lâu ngày khớp biến dạng gia: Xuyên sơn giáp, Toàn trùng, Ô tiêu xà)"
Đau nửa đầu,Phong,"Đau nửa đầu tái phát nhiều lần không khỏi, gặp gió thì đau tăng",Thiên đầu thống hiệu phương,"Phòng phong, Màn kinh, Bạc hà, Xuyên khung, Độc hoạt, Bạch chỉ, Tế tân"
Đau nửa đầu,Phong (nặng),"Đau nửa đầu dữ dội, gặp gió đau tăng",Thiên đầu thống phương,"Toàn yết, Thuyền thoái, Đại ngô công"
Đau nửa đầu,Nhiệt,"Đau nửa đầu gặp nóng thì đau kịch liệt, gặp lạnh dễ chịu, tâm phiền, đắng miệng, tiểu tiện vàng",Không bạch tán,"Xuyên khung, Hoàng cầm, Bạch chỉ"
Đau nửa đầu,Phong hoả nội động,"Đau nửa đầu, miệng đắng khô, đau lan tới má và răng, nặng thì cơ vùng mặt co kéo",Trị liệu tam thoa thần kinh phương,"Sinh Thạch cao, Cát căn, Câu đằng, Màn kinh, Ngô công, Hoàng cầm, Kinh giới tuệ, Thương nhĩ tử, Toàn yết, Sinh địa hoàng"
Đau nửa đầu,Phong hoả nội động (âm hư can hoả),"Đau nửa đầu kèm tâm phiền nóng nảy, dễ cáu giận, choáng váng",Bài thuốc dưỡng huyết bình can,"Bạch thược, Sinh Mẫu lệ, Đan sâm, Cam thảo"
Đau nửa đầu,Phong nhiệt đàm,"Đau nửa đầu, miệng đắng nhớt, đau dữ dội, tâm phiền khát nước, mặt và lưỡi đỏ, mạch phù hồng hoạt sác",Thanh hoá tán thiên thang,"Chi tử, Toàn yết, Kinh giới, Cương tằm, Phòng phong, Bán hạ, Cúc hoa, Cát cánh, Hoàng cầm, Xuyên khung, Địa long, Khương hoạt, Nhũ hương, Mộc qua, Hồng hoa"
Đau nửa đầu,Can uất,"Đầu choáng váng, miệng đắng, sườn đau, mạch huyền",Trị thiên đầu thống nghiệm phương 1,"Cảo bản, Bạch chỉ, Qui xuyên, Câu đằng, Màn kinh, Xuyên khung, Thạch quyết minh"
Đau nửa đầu,Can uất (phương khác),"Đầu choáng váng, miệng đắng, sườn đau, mạch huyền",Sơ can lý khí hoạt huyết phương,"Sài hồ, Hoàng cầm, Qui đầu, Cát căn, Phòng phong, Cam thảo, Chỉ sác, Xuyên khung, Xích thược, Bạch chỉ, Ngưu tất"
Đau nửa đầu,Can phong,"Đau dữ dội nửa bên đầu tới vùng lưỡi, ăn uống nói cũng đau, đầu choáng váng, mặt đỏ, cơn đau như chớp giật",Hoạt huyết chỉ thiên đầu thống,"Xuyên khung, Bạch thược, Cúc hoa, Sinh Mẫu lệ, Bạch chỉ, Xích thược, Cương tằm, Địa cốt bì, Toàn yết, Ngưu tất"
Đau nửa đầu,Hàn đàm ứ huyết,"Ưa chườm nóng, không khát, rêu trắng mỏng nhuận, mạch phù huyền",Thanh hoá tán thiên thang,"Chi tử, Toàn yết, Kinh giới, Cương tằm, Phòng phong, Bán hạ, Cúc hoa, Cát cánh, Hoàng cầm, Xuyên khung, Địa long, Khương hoạt, Nhũ hương, Mộc qua, Hồng hoa"
Đau thần kinh liên sườn,Do lạnh (Hàn tà xâm nhập),"Đau liên sườn, có thể kèm ho, thở đau, do lạnh xâm nhập",Phương thông kinh hoạt lạc khu phong tán hàn,"Quế chi, Bạch chỉ, Phòng phong, Khương hoạt, Đan sâm, Chỉ sác, Xuyên khung, Thanh bì, Uất kim"
Đau thần kinh liên sườn,Can uất,"Sườn trướng đau, len lỏi không cố định, vùng ngực khó chịu, đắng miệng ợ hơi, có liên quan tới tình chí, mạch huyền",Phương sơ can giải uất hành khí hoạt huyết,"Uất kim, Đan sâm, Hương phụ, Thanh bì, Xuyên khung, Chỉ sác, Trích thảo, Sài hồ, Bạch linh, Bạch thược, Qui xuyên, Bạch truật, Trần bì"
Đau thần kinh liên sườn,Huyết ứ,"Đau tại một điểm cố định, đau như dùi đâm, tiền sử thường có chấn thương",Huyết phủ trục ứ thang,"Qui đầu, Sinh địa, Xích thược, Đào nhân, Hồng hoa, Xuyên khung, Sài hồ, Chỉ sác, Cát cánh, Ngưu tất, Cam thảo"
Đau thần kinh liên sườn,Huyền ẩm (Tràn dịch màng phổi),"Huyền ẩm, ho nhổ cũng đau, đau lan toả từ dưới sườn tới khuyến bồn mỗi khi ho, xoay chuyển hoặc hô hấp thì càng đau, đoản hơi thở gấp, rêu lưỡi trắng, mạch trầm huyền",Thập táo thang,"Đại kích, Cam toại, Nguyên hoa, Táo"
Đau thần kinh liên sườn,Can kinh thấp nhiệt,"Trướng đau dai dẳng ở vùng sườn phải, hoặc có từng cơn đau dữ dội, đau lan toả tới vùng dưới tâm và ngực lưng, miệng đắng họng khô, nôn mửa hoặc nóng rét qua lại, tiểu tiện vàng đỏ, đại tiện bí kết (thường gặp trong viêm gan, mật)",Đại sài hồ thang,"Sài hồ, Hoàng cầm, Bạch thược, Bán hạ, Sinh khương, Táo, Chỉ thực, Đại hoàng"
Đau thần kinh liên sườn,Can huyết hư - Can thận âm hư,"Hai bên sườn đau thắt, khi làm nặng thì đau tăng, huyễn vựng, lưỡi sạch ít rêu, mạch huyền tế (nếu âm hư mạch huyền sác)",Nhất quán tiễn gia giảm,"Sa sâm, Mẫu lệ, Mạch môn, Sinh địa, Ngưu tất, Qui đầu, Bá tử nhân, Bạch thược, Kỉ tử, Xuyên luyện (Kiêm hàn thêm Nhục thung dung, Nhục quế; miệng đắng khô thêm Hoàng liên; đau nặng gia Trầm hương, Hồng hoa, Uất kim)"
Đau vùng đỉnh đầu,Phong tà,"Đau vùng đỉnh hoặc lan toả về phía sau đầu và gáy, kiêm chứng đau hàm răng, sợ gió, mạch phù, phát bệnh nhanh gấp",Lô thị chỉ đầu thống phương,"Xuyên khung, Khương hoạt, Cảo bản, Bạch chỉ, Cúc hoa, Tất bát"
Đau vùng đỉnh đầu,Huyết ứ,"Đau đỉnh đầu lâu ngày, lúc phát lúc ngừng, nơi đau cố định hoặc lan toả hai màng tang, lưỡi tối",Vương thị đầu thống phương,"Màn kinh, Xuyên khung, Xích thược, Toàn yết, Phòng phong, Hồng hoa, Ngưu tất"
Đau vùng đỉnh đầu,Hàn thấp,"Đỉnh đầu đau nặng nề choáng váng, ngực khó chịu, nôn mửa ra dãi dính, đầu ngón tay ngón chân không ấm, vị quản ưa ấm, rêu trắng nhớt",Trần thị ngô linh thang,"Ngô thù, Đẳng sâm, Sinh khương, Quế chi, Bạch linh, Bạch truật, Đại táo, Trích thảo"
Đi ngoài ra máu,Thấp nhiệt,"Đại tiện ra máu, sắc đỏ tươi; miệng đắng và nhớt",Bài thuốc thanh nhiệt táo thấp lương huyết chỉ huyết (đơn giản),"Địa du (sao đen), Trắc bách diệp (sao đen), Hoa hòe (sao đen), Nha đởm tử, Long nhãn nhục"
Đi ngoài ra máu,Thấp nhiệt (kèm khí trệ),"Trong phân lẫn máu, sắc máu không tươi; ngực bụng đầy trướng; đại tiện không thoải mái",Bài thuốc thanh nhiệt táo thấp hành khí,"Bạch đầu ông, Hoàng bá, Hoàng liên, Tần bì, Rau sam, Tiêu Sơn tra, Tiêu Thần khúc, Ô mai, Xương truật, Mộc hương, Tiêu Mạch nha, Hậu phác"
Đi ngoài ra máu,Khí hư,"Đại tiện ra máu, sắc đỏ nhạt; đại tiện nát; đoản khí; đau bụng",Bài thuốc bổ khí chỉ huyết,"Trích kỳ (Hoàng kỳ), Thăng ma, Đại hoàng thán, Đẳng sâm, Bạch truật (thổ sao), Bào khương thán, Sài hồ, Địa du thán, Trích thảo, Xích linh, Bạch cập (uống bột hòa nước thuốc)"
Đi ngoài ra máu,Khí hư uất nhiệt,"Đại tiện ra máu, lúc đỏ tươi lúc đỏ nhạt; đại tiện nát; đoản khí; đau bụng; mạch huyền sác vô lực",Bài thuốc bổ khí lương huyết chỉ huyết,"Sinh Hoàng kỳ, Táo nhân, Trắc bá thán, Qui đầu, Phục linh, Mật ong"
Đi ngoài ra máu,Tỳ dương hư,"Đại tiện ra máu lâu ngày, sắc huyết loãng nhạt, lượng nhiều; chân tay không ấm; phân nhão; ăn kém; lưỡi nhạt; mạch nhược",Bài thuốc ôn dương kiện tỳ nhiếp huyết,"Đẳng sâm, Bào khương, Ô mai, Địa du thán, Phụ tử, Đại hoàng thán, Trắc bách diệp, Cam thảo"
Động kinh,Phong đàm,"Giống cơn động kinh điển hình (đột ngột ngã lăn quay, chân tay co giật, sắc mặt xanh nhạt, hai hàm răng cắn chặt, ỉa đái không biết, sùi bọt mép thở khò khè, hôn mê), hoặc trước khi phát bệnh hông ngực đầy tức buồn bực, nghiến răng, trợn mắt, chân tay run rật, đờm rãi kéo lên thở khò khè, mạch huyền hoạt",Động kinh phong đàm,"Ý dĩ, Trần bì, Toàn yết, Nhân sâm, Nhục quế, Nam tinh sao, Trần mễ, Chu sa"
Động kinh,Huyết ứ,"Động kinh thường gặp ở bệnh nhân bị sang chấn vùng đầu não trong vòng 5 năm, hoặc sau tai biến mạch máu não, đầu có điểm đau cố định, hoặc lưỡi có vết bầm, mạch sáp hoặc khẩn",Thông khiếu hoạt huyết thang gia giảm,"Xích thược, Xuyên khung, Đào nhân, Táo, Rượu trắng, Hồng hoa, Sinh khương, Hành, Xạ hương, Địa long"
Động kinh,Đờm nhiệt sinh phong,"Miệng đắng, họng khô, đại tiện táo kết, lúc lên cơn ngã bất tỉnh chân tay co giật, miệng đầy nước rãi, đờm dính, lưỡi đỏ rêu vàng, mạch huyền sác",Đạo đàm thang gia giảm,"Đởm nam tinh, Chỉ thực, Bán hạ, Phục thần, Viễn trí, Xương bồ, Cương tàm, Câu đằng, Toàn yết, Long đởm thảo, Sinh địa, Trúc nhự, Địa long"
Động kinh,Tâm thận tỳ hư,"Mắc bệnh lâu ngày tái phát nhiều lần, khi lên cơn đầu tối sầm lại, ngã, chân tay run miệng kêu, hôn mê, sau khi tỉnh mệt mỏi, chí lực giảm sút, sắc mặt không tươi, lưng gối yếu mỏi, ăn ít, ngủ kém, đờm nhiều, rêu mỏng, mạch tế hoãn",Đông kinh tâm thận tỳ hư,"Thục địa, Kỉ tử, Bạch truật, Đẳng sâm, Long nhãn, Hà thủ ô, Đại táo, Bá tử nhân, Bán hạ, Trần bì, Tử hà xa, Bạch linh, Đan sâm, Viễn trí, thảo"
Động kinh,Âm hư (thận âm hư nội nhiệt),"Người gầy, hư phiền, kèm theo các triệu chứng của thể tâm thận tỳ hư",Đại định phong châu thang gia giảm,"Sinh địa, Mạch môn, A giao, Lòng đỏ trứng gà, Qui bản (tẩm giấm), Mẫu lệ, Miết giáp (tẩm giấm), Bạch thược, Ngũ vị, Vừng đen"
Động kinh,Tỳ hư,"Đại tiện lỏng, hay sợ hãi, người bệnh mệt mỏi, sắc mặt xạm, hoa mắt chóng mặt, chán ăn, buồn nôn, nôn, tiêu lỏng, chất lưỡi hồng nhạt, mạch tế nhược",Lục quân tử thang gia giảm,"Đẳng sâm, Bạch truật, Bạch linh, Cam thảo, Trần bì, Bán hạ, Câu đằng, Cương tàm, Sinh Long cốt, Sinh Mẫu lệ, Xương bồ, Viễn trí, Đởm nam tinh"
Động kinh,Tâm huyết hư,"Động kinh, đoản khí, hồi hộp, mất ngủ, nhiều mộng, váng đầu hay quên, miệng đắng họng khô, lúc lên cơn tinh thần không minh mẫn, mạch tế sác",Toan táo nhân thang hợp Cam mạch đại táo thang gia giảm,"Táo nhân, Phục thần, Sinh địa, Tiểu mạch, Đương qui, Đẳng sâm, Cam thảo, Đại táo, Hoàng liên, Toàn yết, Ngô công, Cương tằm"
Động mạch viêm tắc,Dương hư ứ trệ,"Sắc mặt xanh, người mệt mỏi, thích ấm sợ lạnh, da trắng xanh, hay chuột rút, đi đau nghỉ đỡ, nước tiểu trong dài, đại tiện lỏng, chất lưỡi đạm, mạch trầm trì không có sức, dần dần tứ chi đau liên miên, đêm càng đau nhiều hơn, đầu chi khô",Dương hòa thang gia giảm,"Qui xuyên, Thục địa, Xích thược, Xuyên khung, Đào nhân, Hồng hoa, Xuyên luyện tử, Chế phụ tử, Quế chi, Đan sâm, Ngưu tất, Tang kí sinh, Bạch giới tử, Hoàng kỳ, Ngân hoa, Huyền sâm, Cam thảo, Qui đầu, Binh lang, Qua lâu, Đan bì, Chỉ sác"
Động mạch viêm tắc,Nhiệt độc,"Tại chỗ nóng, sưng loét hôi thối, đau kịch liệt, sốt miệng khô, nước tiểu đỏ, chất lưỡi đỏ",Tứ diệu dũng an thang gia giảm,"Ngân hoa, Bồ công anh, Hoàng bá, Ngưu tất, Ý dĩ, Ké, Huyền sâm, Đan sâm, Thạch hộc, Sinh địa, Qui xuyên, Hoàng kỳ"
Động mạch viêm tắc,Khí huyết hư,"Người mệt mỏi, hay ra mồ hôi, đau ít, vết loét không lành, tay chân lạnh, rêu trắng mỏng, mạch nhu, tế hoãn",Cố bộ thang,"Ngân hoa, Qui đầu, Ngưu tất, Hoàng kỳ, Đẳng sâm, Thạch hộc"
Ế cách,Đàm khí uất,"Nuốt khó, ngực đầy đau âm ỉ, đau tức, hoặc khó thở, nấc cụt, ợ hơi, miệng khô, đại tiện khó đi; rêu trắng dầy; mạch huyền hoạt (thường gặp ở giai đoạn sớm)",Toàn phúc đại giả thạch thang gia giảm,"T phúc hoa, Đại giả thạch, Bán hạ, Hương phụ, Mộc hương, Uất kim, Đan sâm, Bạch linh, Chỉ sác, Cát cánh, Qua lâu, Phỉ bạch, Uy linh (có thể là Uy linh tiên), Nam tinh, Bồ công anh, Hạ khô thảo, Trúc nhự, Ngó lăng tử (Ngoa lăng tử), Đẳng sâm"
Ế cách,Huyết ứ tân suy,"Đau nhói vùng hung cách; họng khô vướng mắc; đồ ăn uống không trôi, ăn vào mửa ra; khó nuốt nước; đại tiện táo như phân dê, hoặc đen như nước đậu đen; có thể nôn ra đờm rãi huyết tím; thể trạng gầy còm, da dẻ khô ráo; lưỡi đỏ ít tân dịch hoặc tím tối; mạch tế sáp",Tư âm dưỡng huyết phá ứ tiêu kết phương,"Sinh địa, Qui đầu, Đào nhân, Xích thược, Chỉ thực, Bạch thược, Mạch môn, Đan bì, Sa sâm, Ngọc trúc, Xuyên khung, Hồng hoa, Đan sâm, Ngưu tất"
Ế cách,Dương khí hư,"Ăn uống không xuống; sắc mặt trắng bệch; sợ lạnh, đoản khí; nhổ ra rãi trong; mặt phù, chân thũng; bụng trướng; lưỡi nhạt; mạch tế",Bổ khí vận tỳ thang (tham khảo),"Nhân sâm, Bạch truật, Bạch linh, Hoàng kỳ, Trần bì, Xa nhân (Sa nhân), Bán hạ, Sinh khương, Táo, Cam thảo"
Glocom – Tăng nhãn áp,Âm hư dương cang,"Đau nửa đầu, nhức mắt, mắt căng, võng mạc viêm tắc, nhãn áp tăng, thị lực giảm mạnh, miệng họng khô ráo, lưỡi đỏ ít rêu, người gầy, mạch sác",Dục âm tiềm dương thông mạch thang,"Sinh địa, Trân châu, Hoài sơn, Mạch môn, Tri mẫu Tẩm muối, Hoàng bá tẩm muối, Long cốt, Ngưu tất, Đan sâm, Xích thược, Thuyền thoái, Mộc tặc, Kỉ tử, Bạch thược, Sa sâm"
Glocom – Tăng nhãn áp,Can uất,"Đau nửa đầu, nhức mắt, giảm thị lực, tăng nhãn áp, tinh thần uất ức không vui, mạch huyền hoặc huyền sác",Tiêu dao tán hợp Tả can giải uất thang,"Cát cánh, sung úy tử, Sa tiền, Đình lịch tử, Phòng phong, Hoàng cầm, Hương phụ, Hạ khô thảo, Lô căn, Cam thảo, bột Tiêu dao tán"
Glocom – Tăng nhãn áp,Kinh nghiệm 1,Glocom thể mãn tính hoặc cấp tính (theo kinh nghiệm dân gian),Thông lạc thang,"Tân vân bì, Cúc hoa, Mao đông thanh, Tử Đan sâm, Hoàng cầm Sao rượu, Cát căn, Sinh bồ hoàng, Đại hoàng"
Glocom – Tăng nhãn áp,Kinh nghiệm 2,Glocom thể mãn tính hoặc cấp tính (theo kinh nghiệm dân gian),Bài thuốc kinh nghiệm 2,"Bạch thược, Ngũ vị, Khương hoạt, Độc hoạt"
